implementation,rows,cols,block_x,block_y,time_ms,bandwidth_gb_s,speedup_vs_cpu,correct
cpu,2048,1024,0,0,7.6946,2.18039,1,true
naive_gpu,2048,1024,16,16,0.042528,394.498,180.93,true
tiled_gpu,2048,1024,16,16,0.036128,464.383,212.982,true
managed_tiled_gpu,2048,1024,16,16,15.4963,1.08266,0.496545,true
naive_gpu,2048,1024,32,8,0.08608,194.903,89.3889,true
tiled_gpu,2048,1024,32,8,0.07584,221.219,101.458,true
managed_tiled_gpu,2048,1024,32,8,14.3803,1.16668,0.535079,true
naive_gpu,2048,1024,32,32,0.145792,115.076,52.7779,true
tiled_gpu,2048,1024,32,32,0.053632,312.821,143.47,true
managed_tiled_gpu,2048,1024,32,32,14.4811,1.15856,0.531356,true
cpu,4096,2048,0,0,38.8007,1.72958,1,true
naive_gpu,4096,2048,16,16,0.250304,268.109,155.014,true
tiled_gpu,4096,2048,16,16,0.323328,207.557,120.004,true
managed_tiled_gpu,4096,2048,16,16,50.4994,1.3289,0.768339,true
naive_gpu,4096,2048,32,8,0.325088,206.433,119.354,true
tiled_gpu,4096,2048,32,8,0.217664,308.314,178.26,true
managed_tiled_gpu,4096,2048,32,8,53.8615,1.24595,0.720379,true
naive_gpu,4096,2048,32,32,0.573312,117.055,67.6782,true
tiled_gpu,4096,2048,32,32,0.342912,195.703,113.151,true
managed_tiled_gpu,4096,2048,32,32,54.5139,1.23104,0.711758,true
cpu,8192,4096,0,0,143.493,1.87072,1,true
naive_gpu,8192,4096,16,16,14.6024,18.383,9.82666,true
tiled_gpu,8192,4096,16,16,14.5352,18.4679,9.87207,true
managed_tiled_gpu,8192,4096,16,16,391.693,0.68532,0.36634,true
naive_gpu,8192,4096,32,8,28.37,9.46195,5.05791,true
tiled_gpu,8192,4096,32,8,0.849088,316.146,168.996,true
managed_tiled_gpu,8192,4096,32,8,460.44,0.582998,0.311643,true
naive_gpu,8192,4096,32,32,12.248,21.9167,11.7156,true
tiled_gpu,8192,4096,32,32,14.5991,18.3871,9.82886,true
managed_tiled_gpu,8192,4096,32,32,428.862,0.625925,0.33459,true
