implementation,rows,cols,filter_size,avg_time_ms,max_error
CPU,512,512,3,12.372460,0.000000
Naive GPU,512,512,3,0.021734,0.000000
Shared GPU 8x8,512,512,3,0.015091,0.000000
Shared GPU 16x16,512,512,3,0.014355,0.000000
Shared GPU 32x8,512,512,3,0.015539,0.000000
Constant GPU,512,512,3,0.015315,0.000000
CPU,1024,1024,3,49.056320,0.000000
Naive GPU,1024,1024,3,0.038221,0.000000
Shared GPU 8x8,1024,1024,3,0.040960,0.000000
Shared GPU 16x16,1024,1024,3,0.039744,0.000000
Shared GPU 32x8,1024,1024,3,0.039328,0.000000
Constant GPU,1024,1024,3,0.038765,0.000000
CPU,2048,2048,3,196.249040,0.000000
Naive GPU,2048,2048,3,0.141318,0.000000
Shared GPU 8x8,2048,2048,3,0.151789,0.000000
Shared GPU 16x16,2048,2048,3,0.147546,0.000000
Shared GPU 32x8,2048,2048,3,0.145414,0.000000
Constant GPU,2048,2048,3,0.141696,0.000000
CPU sep check,1024,1024,3,50.003240,0.000000
Separable GPU,1024,1024,3,0.097370,0.000000
CPU,1024,1024,3,49.416900,0.000000
Naive GPU,1024,1024,3,0.039354,0.000000
Shared GPU 8x8,1024,1024,3,0.042035,0.000000
Shared GPU 16x16,1024,1024,3,0.039718,0.000000
Shared GPU 32x8,1024,1024,3,0.041357,0.000000
Constant GPU,1024,1024,3,0.037792,0.000000
CPU sep check,1024,1024,3,50.290080,0.000000
Separable GPU,1024,1024,3,0.050291,0.000000
CPU,1024,1024,5,132.615280,0.000000
Naive GPU,1024,1024,5,0.061114,0.000000
Shared GPU 8x8,1024,1024,5,0.065005,0.000000
Shared GPU 16x16,1024,1024,5,0.065766,0.000000
Shared GPU 32x8,1024,1024,5,0.071770,0.000000
Constant GPU,1024,1024,5,0.058701,0.000000
CPU sep check,1024,1024,5,135.223000,0.000000
Separable GPU,1024,1024,5,0.060218,0.000000
CPU,1024,1024,7,268.192560,0.000000
Naive GPU,1024,1024,7,0.114899,0.000000
Shared GPU 8x8,1024,1024,7,0.106874,0.000000
Shared GPU 16x16,1024,1024,7,0.109926,0.000000
Shared GPU 32x8,1024,1024,7,0.105702,0.000000
Constant GPU,1024,1024,7,0.104486,0.000000
CPU sep check,1024,1024,7,263.524580,0.000000
Separable GPU,1024,1024,7,0.053107,0.000000
